image_id,image_path,bbox_x,bbox_y,bbox_w,bbox_h,class_idx
49,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,49.0,69.0,253.0,211.0,0
51,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,151.0,152.0,310.0,200.0,0
53,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,60.0,29.0,432.0,355.0,0
55,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,152.0,86.0,120.0,141.0,0
56,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,2.0,45.0,189.0,120.0,0
58,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,46.0,24.0,197.0,117.0,0
60,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,96.0,77.0,260.0,170.0,0
62,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,202.0,28.0,164.0,340.0,1
64,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,60.0,128.0,438.0,106.0,1
66,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,41.0,79.0,387.0,202.0,1
67,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,156.0,35.0,126.0,259.0,1
69,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,82.0,75.0,308.0,260.0,1
72,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,75.0,80.0,375.0,277.0,1
73,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,41.0,31.0,384.0,260.0,1
74,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,45.0,31.0,268.0,306.0,1
75,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,38.0,91.0,316.0,193.0,1
77,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,15.0,25.0,409.0,274.0,1
78,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,193.0,46.0,202.0,195.0,1
80,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,71.0,50.0,312.0,236.0,1
81,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,67.0,25.0,358.0,248.0,1
84,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,41.0,89.0,378.0,304.0,1
86,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,157.0,36.0,195.0,365.0,1
89,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,84.0,25.0,285.0,307.0,1
96,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,151.0,23.0,274.0,351.0,1
97,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,46.0,71.0,403.0,280.0,1
99,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,24.0,53.0,361.0,181.0,1
102,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,92.0,47.0,331.0,260.0,1
104,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,83.0,90.0,245.0,394.0,1
105,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,127.0,55.0,252.0,182.0,1
109,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,43.0,62.0,286.0,432.0,1
110,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,148.0,115.0,149.0,193.0,1
111,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,136.0,66.0,171.0,243.0,1
113,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,31.0,52.0,377.0,172.0,1
115,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,183.0,80.0,237.0,200.0,1
116,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,128.0,109.0,221.0,198.0,1
117,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,165.0,48.0,166.0,268.0,1
120,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,77.0,93.0,163.0,178.0,1
121,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,196.0,96.0,222.0,147.0,2
122,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,102.0,128.0,396.0,148.0,2
123,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,105.0,133.0,168.0,283.0,2
124,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,169.0,41.0,180.0,249.0,2
125,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,1.0,134.0,316.0,345.0,2
127,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,92.0,117.0,327.0,121.0,2
128,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,55.0,49.0,176.0,150.0,2
131,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,114.0,30.0,205.0,281.0,2
136,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,121.0,74.0,149.0,134.0,2
137,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,134.0,96.0,123.0,289.0,2
138,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,165.0,34.0,288.0,296.0,2
140,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,6.0,1.0,493.0,497.0,2
141,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,89.0,168.0,160.0,245.0,2
142,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,9.0,67.0,312.0,252.0,2
143,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg,1.0,14.0,250.0,248.0,2
145,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,191.0,51.0,233.0,253.0,2
148,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,105.0,77.0,267.0,159.0,2
151,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,14.0,39.0,455.0,167.0,2
152,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,165.0,55.0,128.0,219.0,2
153,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,37.0,35.0,142.0,141.0,2
158,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,22.0,13.0,325.0,428.0,2
159,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg,0.0,0.0,400.0,378.0,2
160,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,139.0,33.0,337.0,319.0,2
164,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg,0.0,74.0,443.0,200.0,2
166,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg,22.0,98.0,449.0,192.0,2
168,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0040_796375.jpg,96.0,58.0,246.0,351.0,2
172,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,37.0,18.0,222.0,290.0,2
174,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0019_796391.jpg,236.0,36.0,123.0,115.0,2
176,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0022_796398.jpg,20.0,18.0,314.0,367.0,2
177,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,19.0,9.0,183.0,405.0,2
181,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,140.0,76.0,141.0,297.0,3
182,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,62.0,108.0,308.0,310.0,3
184,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg,61.0,41.0,230.0,414.0,3
187,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg,115.0,62.0,323.0,286.0,3
188,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg,71.0,43.0,320.0,245.0,3
189,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg,200.0,149.0,111.0,117.0,3
194,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg,61.0,52.0,377.0,290.0,3
195,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg,205.0,140.0,182.0,173.0,3
196,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg,228.0,28.0,187.0,281.0,3
197,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg,166.0,86.0,207.0,214.0,3
202,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg,92.0,94.0,213.0,295.0,3
203,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg,102.0,56.0,117.0,176.0,3
204,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg,247.0,135.0,106.0,171.0,3
206,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg,24.0,58.0,432.0,238.0,3
209,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg,147.0,142.0,148.0,208.0,3
213,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg,115.0,59.0,329.0,255.0,3
215,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0077_1724.jpg,22.0,103.0,233.0,314.0,3
216,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg,34.0,138.0,287.0,158.0,3
218,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg,110.0,67.0,389.0,233.0,3
220,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0023_1485.jpg,110.0,75.0,128.0,256.0,3
221,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0004_1528.jpg,290.0,97.0,145.0,142.0,3
222,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0056_1493.jpg,45.0,43.0,270.0,342.0,3
224,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0058_1751.jpg,160.0,65.0,156.0,234.0,3
225,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg,89.0,34.0,228.0,339.0,3
227,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0055_1501.jpg,123.0,49.0,306.0,200.0,3
228,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0065_1502.jpg,110.0,52.0,219.0,368.0,3
230,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0006_1763.jpg,188.0,151.0,197.0,115.0,3
232,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0061_1510.jpg,116.0,37.0,144.0,453.0,3
235,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0032_1776.jpg,156.0,25.0,198.0,349.0,3
238,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0012_1784.jpg,183.0,98.0,114.0,217.0,3
241,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0061_794904.jpg,101.0,64.0,165.0,404.0,4
242,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0018_1817.jpg,52.0,51.0,278.0,448.0,4
243,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0010_794907.jpg,22.0,45.0,225.0,373.0,4
245,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0029_1824.jpg,25.0,39.0,247.0,460.0,4
247,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0013_794914.jpg,39.0,59.0,175.0,212.0,4
248,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0047_794918.jpg,32.0,43.0,138.0,128.0,4
249,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0005_794922.jpg,130.0,59.0,176.0,400.0,4
250,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0019_794925.jpg,31.0,9.0,139.0,255.0,4
253,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0032_794931.jpg,113.0,15.0,217.0,312.0,4
254,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0057_794932.jpg,5.0,25.0,308.0,459.0,4
256,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0045_794940.jpg,10.0,69.0,220.0,299.0,4
257,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0001_794941.jpg,34.0,141.0,251.0,331.0,4
258,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0039_794944.jpg,114.0,75.0,143.0,338.0,4
261,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0052_794952.jpg,30.0,132.0,176.0,234.0,4
262,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0012_794960.jpg,98.0,57.0,122.0,286.0,4
263,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0003_794962.jpg,60.0,54.0,226.0,264.0,4
264,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0033_794964.jpg,252.0,54.0,111.0,211.0,4
266,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0062_794968.jpg,58.0,50.0,128.0,191.0,4
267,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0073_785248.jpg,209.0,22.0,196.0,128.0,4
268,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0067_785249.jpg,317.0,96.0,129.0,269.0,4
269,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0066_785251.jpg,52.0,63.0,295.0,424.0,4
270,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0076_785252.jpg,60.0,66.0,263.0,396.0,4
272,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0071_785255.jpg,0.0,0.0,500.0,375.0,4
273,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0077_785257.jpg,189.0,235.0,105.0,143.0,4
274,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0069_785258.jpg,78.0,73.0,108.0,120.0,4
275,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0075_785259.jpg,130.0,145.0,146.0,117.0,4
276,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0072_785260.jpg,177.0,146.0,186.0,173.0,4
278,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0063_794901.jpg,38.0,17.0,388.0,359.0,4
280,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0030_794937.jpg,177.0,27.0,177.0,387.0,4
281,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0040_794912.jpg,10.0,157.0,183.0,274.0,4
283,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0035_1888.jpg,82.0,22.0,387.0,362.0,5
284,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0050_1924.jpg,90.0,125.0,180.0,313.0,5
285,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0058_1931.jpg,205.0,94.0,193.0,212.0,5
287,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0016_1903.jpg,59.0,34.0,281.0,450.0,5
288,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0040_795100.jpg,89.0,52.0,136.0,174.0,5
289,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0015_795065.jpg,99.0,102.0,195.0,209.0,5
290,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0026_795066.jpg,96.0,61.0,190.0,205.0,5
291,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0043_795067.jpg,92.0,90.0,126.0,202.0,5
293,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0045_795069.jpg,28.0,133.0,167.0,278.0,5
294,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0008_795071.jpg,5.0,4.0,131.0,149.0,5
295,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0012_795074.jpg,157.0,50.0,186.0,292.0,5
296,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0018_795077.jpg,54.0,118.0,195.0,297.0,5
297,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0020_795080.jpg,57.0,90.0,300.0,313.0,5
299,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0017_795084.jpg,81.0,107.0,192.0,329.0,5
301,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0052_795088.jpg,74.0,89.0,104.0,152.0,5
