image_id,image_path,is_train,bbox_x,bbox_y,bbox_w,bbox_h
12,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,0,47.0,21.0,179.0,249.0
13,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,36.0,32.0,197.0,457.0
14,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,37.0,40.0,262.0,184.0
15,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,23.0,80.0,395.0,237.0
16,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,141.0,87.0,256.0,211.0
17,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,40.0,38.0,254.0,209.0
18,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,45.0,58.0,254.0,249.0
19,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,135.0,83.0,304.0,181.0
20,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,23.0,195.0,255.0,122.0
21,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,11.0,77.0,281.0,139.0
22,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,5.0,4.0,210.0,130.0
23,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,154.0,93.0,188.0,165.0
24,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,50.0,25.0,156.0,139.0
25,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,172.0,106.0,265.0,214.0
26,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,37.0,61.0,409.0,180.0
27,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,65.0,62.0,309.0,345.0
28,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,1.0,2.0,499.0,286.0
29,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,97.0,3.0,235.0,254.0
30,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,90.0,29.0,224.0,211.0
31,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,38.0,15.0,314.0,301.0
32,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,20.0,91.0,416.0,203.0
33,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,82.0,52.0,260.0,260.0
34,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,66.0,115.0,360.0,214.0
35,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,19.0,18.0,464.0,294.0
36,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,72.0,40.0,286.0,225.0
37,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,216.0,119.0,221.0,154.0
38,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,40.0,4.0,368.0,445.0
39,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,69.0,57.0,199.0,141.0
40,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,130.0,29.0,202.0,393.0
41,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,53.0,46.0,302.0,317.0
42,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,25.0,17.0,368.0,299.0
43,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,137.0,64.0,287.0,156.0
44,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,111.0,42.0,133.0,219.0
45,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,58.0,51.0,388.0,211.0
46,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,13.0,28.0,212.0,283.0
47,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,5.0,127.0,496.0,131.0
48,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,113.0,260.0,127.0,130.0
49,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,49.0,69.0,253.0,211.0
50,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,24.0,144.0,433.0,130.0
51,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,151.0,152.0,310.0,200.0
52,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,157.0,45.0,103.0,324.0
53,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,60.0,29.0,432.0,355.0
54,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,131.0,36.0,212.0,304.0
55,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,152.0,86.0,120.0,141.0
56,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,2.0,45.0,189.0,120.0
57,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,214.0,87.0,204.0,179.0
58,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,46.0,24.0,197.0,117.0
59,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,72.0,29.0,224.0,262.0
60,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,96.0,77.0,260.0,170.0
61,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,0,144.0,40.0,333.0,165.0
62,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,202.0,28.0,164.0,340.0
63,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,0,72.0,68.0,383.0,225.0
64,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,60.0,128.0,438.0,106.0
65,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,0,32.0,35.0,259.0,361.0
66,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,41.0,79.0,387.0,202.0
67,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,156.0,35.0,126.0,259.0
68,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,0,108.0,123.0,230.0,149.0
69,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,82.0,75.0,308.0,260.0
70,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,0,89.0,172.0,108.0,146.0
71,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,0,83.0,124.0,211.0,250.0
72,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,75.0,80.0,375.0,277.0
73,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,41.0,31.0,384.0,260.0
74,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,45.0,31.0,268.0,306.0
75,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,38.0,91.0,316.0,193.0
76,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,0,137.0,72.0,202.0,211.0
77,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,15.0,25.0,409.0,274.0
78,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,193.0,46.0,202.0,195.0
79,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,0,99.0,115.0,316.0,284.0
80,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,71.0,50.0,312.0,236.0
81,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,67.0,25.0,358.0,248.0
82,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,0,109.0,13.0,276.0,295.0
83,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,0,35.0,114.0,418.0,216.0
84,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,41.0,89.0,378.0,304.0
85,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,0,8.0,75.0,350.0,424.0
86,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,157.0,36.0,195.0,365.0
87,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,0,30.0,7.0,437.0,321.0
88,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,0,58.0,91.0,332.0,256.0
89,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,1,84.0,25.0,285.0,307.0
90,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,0,193.0,53.0,244.0,254.0
91,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,0,119.0,42.0,118.0,123.0
92,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,0,18.0,60.0,459.0,239.0
93,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,0,135.0,120.0,201.0,138.0
94,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,0,45.0,10.0,322.0,281.0
95,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,0,120.0,60.0,101.0,218.0
96,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,151.0,23.0,274.0,351.0
97,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,46.0,71.0,403.0,280.0
98,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,0,118.0,19.0,222.0,294.0
99,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,24.0,53.0,361.0,181.0
100,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,0,13.0,58.0,473.0,243.0
101,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,0,125.0,72.0,306.0,149.0
102,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,92.0,47.0,331.0,260.0
103,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,0,152.0,41.0,187.0,271.0
104,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,83.0,90.0,245.0,394.0
105,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,1,127.0,55.0,252.0,182.0
106,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,0,116.0,18.0,283.0,314.0
107,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,0,64.0,94.0,287.0,223.0
108,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,0,138.0,88.0,120.0,156.0
109,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,43.0,62.0,286.0,432.0
110,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,148.0,115.0,149.0,193.0
111,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,136.0,66.0,171.0,243.0
112,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,0,140.0,100.0,237.0,199.0
113,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,1,31.0,52.0,377.0,172.0
114,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,0,26.0,53.0,331.0,211.0
115,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,1,183.0,80.0,237.0,200.0
116,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,128.0,109.0,221.0,198.0
117,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,165.0,48.0,166.0,268.0
118,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,0,145.0,42.0,182.0,288.0
119,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,0,92.0,69.0,366.0,269.0
120,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,77.0,93.0,163.0,178.0
121,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,1,196.0,96.0,222.0,147.0
122,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,1,102.0,128.0,396.0,148.0
123,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,1,105.0,133.0,168.0,283.0
124,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,1,169.0,41.0,180.0,249.0
125,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,1,1.0,134.0,316.0,345.0
126,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0003_1078.jpg,0,36.0,63.0,448.0,252.0
127,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,1,92.0,117.0,327.0,121.0
128,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,1,55.0,49.0,176.0,150.0
129,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,0,206.0,107.0,140.0,115.0
130,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0071_1116.jpg,0,98.0,24.0,240.0,313.0
131,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,1,114.0,30.0,205.0,281.0
132,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0030_1122.jpg,0,75.0,2.0,397.0,330.0
133,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,0,86.0,57.0,130.0,270.0
134,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,0,49.0,75.0,366.0,157.0
135,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,0,33.0,118.0,235.0,173.0
136,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,1,121.0,74.0,149.0,134.0
137,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,1,134.0,96.0,123.0,289.0
138,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,1,165.0,34.0,288.0,296.0
139,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0024_1161.jpg,0,98.0,140.0,181.0,247.0
140,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,1,6.0,1.0,493.0,497.0
141,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,1,89.0,168.0,160.0,245.0
142,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,1,9.0,67.0,312.0,252.0
143,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg,1,1.0,14.0,250.0,248.0
144,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0005_796342.jpg,0,1.0,15.0,415.0,302.0
145,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,1,191.0,51.0,233.0,253.0
146,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0042_1210.jpg,0,0.0,67.0,212.0,163.0
147,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0046_1211.jpg,0,122.0,35.0,377.0,297.0
148,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,1,105.0,77.0,267.0,159.0
149,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0049_796350.jpg,0,16.0,36.0,190.0,289.0
150,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,0,12.0,9.0,466.0,307.0
151,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,1,14.0,39.0,455.0,167.0
152,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,1,165.0,55.0,128.0,219.0
153,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,1,37.0,35.0,142.0,141.0
154,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg,0,113.0,91.0,287.0,153.0
155,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0029_796357.jpg,0,15.0,46.0,410.0,338.0
156,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0069_796358.jpg,0,145.0,104.0,217.0,215.0
157,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0020_796359.jpg,0,136.0,6.0,222.0,340.0
158,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,1,22.0,13.0,325.0,428.0
159,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg,1,0.0,0.0,400.0,378.0
160,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,1,139.0,33.0,337.0,319.0
161,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0076_796365.jpg,0,247.0,62.0,217.0,251.0
162,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0004_796366.jpg,0,123.0,46.0,267.0,408.0
163,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0065_796367.jpg,0,55.0,65.0,319.0,364.0
164,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg,1,0.0,74.0,443.0,200.0
